hryear4,pesex,peernlab,peerncov,peage,ptdtrace,pehspnon,peeduca,prcitshp,gestfips,pworwgt,peio1ocd
2010,2,2,2,43,1,2,41,1,12,123702256,3130
2010,2,2,2,48,6,2,42,4,12,122971275,3130
2010,2,2,2,36,1,2,43,1,12,115182837,3130
2010,2,2,2,32,2,2,43,5,12,147850723,3130
2010,2,2,2,20,1,1,42,3,12,113776176,3130
2010,2,2,2,49,2,1,41,5,12,147274879,3130
2010,1,2,2,63,2,2,43,1,13,97779134,3130
2010,2,2,2,35,1,2,43,1,13,104257718,3130
2010,2,2,2,39,2,2,43,5,13,105995408,3130
2010,2,2,2,54,1,2,45,1,13,124370493,3130
2010,2,2,2,31,2,2,44,1,13,103390381,3130
2010,2,2,2,28,1,2,43,1,13,112058915,3130
2010,2,2,2,54,1,2,43,1,13,121048813,3130
2010,2,2,2,28,1,2,43,1,15,21701648,3130
2010,2,1,-1,37,1,2,44,1,15,19225832,3130
2010,1,1,-1,37,8,2,43,1,15,33021131,3130
2010,1,2,2,46,1,2,41,1,16,32612417,3130
2010,2,1,-1,47,1,2,43,1,16,37042133,3130
2010,2,2,2,62,1,2,44,1,16,40252579,3130
2010,2,2,2,47,1,2,44,1,16,37167956,3130
2010,2,2,2,39,1,2,42,1,16,40632964,3130
2010,2,2,1,34,1,2,43,1,16,43854811,3130
2010,2,1,-1,43,1,2,43,1,17,103966969,3130
2010,2,2,2,40,1,2,43,1,17,103966969,3130
2010,2,1,-1,58,1,2,44,1,17,127249255,3130
2010,2,2,2,57,1,2,43,1,17,127249255,3130
2010,2,1,-1,34,2,2,43,1,17,115283742,3130
2010,2,2,2,56,1,2,43,1,17,120559875,3130
2010,2,2,2,34,1,2,42,1,17,96819713,3130
2010,2,2,2,54,1,2,41,1,17,125101593,3130
2010,2,2,2,41,2,2,43,1,17,107166834,3130
2010,2,2,2,44,1,2,44,1,17,98501518,3130
2010,2,2,2,51,1,2,43,1,17,124022760,3130
2010,2,2,2,57,4,2,43,5,17,122468792,3130
2010,2,2,2,49,4,2,41,5,17,117001861,3130
2010,2,2,2,47,1,2,41,1,17,126649375,3130
2010,2,2,2,35,1,2,42,1,17,92239640,3130
2010,2,2,2,41,1,2,41,1,17,98369287,3130
2010,2,1,-1,73,1,2,36,5,18,88550257,3130
2010,2,1,-1,42,1,2,42,1,18,165061151,3130
2010,2,2,2,40,1,2,41,1,19,45299307,3130
2010,2,2,2,36,9,2,43,1,19,40191305,3130
2010,2,2,2,48,1,2,42,1,19,44836942,3130
2010,2,2,2,52,1,2,42,1,19,43907057,3130
2010,2,2,2,31,1,2,42,1,19,43299081,3130
2010,2,2,2,47,1,2,42,1,19,44836942,3130
2010,2,2,2,46,1,2,41,1,19,44898758,3130
2010,2,2,2,56,1,2,43,1,19,42739956,3130
2010,2,2,2,43,1,2,44,1,19,44410533,3130
2010,2,1,-1,48,1,2,43,1,19,44898758,3130
2010,2,2,2,56,1,2,43,1,20,48164957,3130
2010,2,2,2,46,1,2,42,1,20,50597777,3130
2010,2,2,2,56,1,2,41,1,20,48164957,3130
2010,2,2,2,46,1,2,43,1,20,50260736,3130
2010,2,2,2,53,1,2,41,1,20,48066292,3130
2010,2,2,2,51,1,2,41,1,20,48066292,3130
2010,2,2,2,46,1,2,41,3,20,49084263,3130
2010,2,2,2,45,1,2,41,1,21,76392520,3130
2010,2,2,2,58,1,2,43,1,21,75012364,3130
2010,2,2,2,51,2,2,41,1,21,110083850,3130
2010,2,2,2,49,1,2,42,1,21,75563196,3130
2010,2,2,2,55,6,2,41,1,22,95646106,3130
2010,2,2,2,49,1,2,41,1,22,130384350,3130
2010,2,1,-1,58,1,2,41,1,23,18498207,3130
2010,2,2,2,28,1,2,44,1,23,17165124,3130
2010,2,2,2,31,1,2,43,1,23,16618564,3130
2010,2,2,2,61,1,2,41,1,23,21045291,3130
2010,2,2,2,52,1,2,39,1,23,19029537,3130
2010,2,2,2,52,1,2,44,1,23,19029537,3130
2010,2,2,2,49,1,2,43,1,23,19432554,3130
2010,2,2,2,62,1,2,43,1,23,21852576,3130
2010,2,2,2,41,2,2,43,4,24,71175371,3130
2010,2,2,2,43,2,2,43,4,24,71175371,3130
2010,2,2,2,53,1,2,43,1,24,62321530,3130
2010,2,2,2,31,2,2,43,1,24,75905974,3130
2010,2,2,2,55,1,1,40,1,24,64691181,3130
2010,1,2,2,52,2,2,44,4,24,86515874,3130
2010,2,2,2,37,2,2,43,5,24,65408212,3130
2010,2,2,2,40,1,2,42,1,24,61382656,3130
2010,2,1,-1,65,1,2,42,1,25,97183193,3130
2010,2,2,2,40,1,2,44,1,25,128296584,3130
2010,2,1,-1,33,1,2,43,1,25,122754933,3130
2010,2,2,2,51,1,2,44,1,25,100125054,3130
2010,2,2,2,48,1,2,43,4,25,105418576,3130
2010,2,1,-1,45,1,2,43,1,25,105418576,3130
2010,2,2,2,57,1,2,44,1,25,100349886,3130
2010,2,2,2,27,2,2,43,1,26,135939048,3130
2010,2,2,2,55,1,2,44,1,26,130013913,3130
2010,2,2,2,36,1,2,44,1,26,112913960,3130
2010,2,2,2,19,1,2,43,1,26,115385265,3130
2010,1,2,2,29,1,2,42,1,26,124629215,3130
2010,2,1,-1,35,1,2,41,1,26,110821585,3130
2010,2,2,2,28,1,2,41,1,27,55328828,3130
2010,2,2,2,43,1,2,42,1,27,54971627,3130
2010,2,2,2,35,1,2,41,1,27,51477005,3130
2010,2,2,2,39,1,2,41,1,27,51477005,3130
2010,2,2,2,44,1,2,41,1,28,93321763,3130
2010,2,2,2,28,1,2,43,1,28,93928159,3130
